2026-02-17T09:16:50.460Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:17:50.458Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:17:50.460Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:18:50.457Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:18:50.460Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:19:43.204Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:19:43.212Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:19:43.260Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:19:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:19:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:20:03.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:20:03.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:20:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:20:13.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:20:23.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:20:23.266Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:20:33.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:20:33.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:20:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:20:43.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:20:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:20:53.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:21:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:21:03.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:21:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:21:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:21:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:21:23.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:21:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:21:33.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:21:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:21:43.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:21:53.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:21:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:22:03.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:22:03.275Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:22:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:22:13.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:22:23.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:22:23.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:22:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:22:33.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:22:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:22:43.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:22:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:22:53.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:23:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:23:03.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:23:13.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:23:13.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:23:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:23:23.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:23:33.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:23:33.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:23:43.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:23:43.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:23:53.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:23:53.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:24:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:24:03.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:24:13.263Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:24:13.267Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:24:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:24:23.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:24:33.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:24:33.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:24:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:24:43.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:24:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:24:53.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:25:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:25:03.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:25:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:25:13.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:25:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:25:23.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:25:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:25:33.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:25:43.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:25:43.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:25:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:25:53.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:26:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:26:03.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:26:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:26:13.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:26:23.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:26:23.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:26:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:26:33.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:26:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:26:43.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:26:53.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:26:53.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:27:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:27:03.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:27:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:27:13.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:27:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:27:23.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:27:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:27:33.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:27:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:27:43.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:27:53.264Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:27:53.266Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:28:03.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:28:03.269Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:28:13.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:28:13.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:28:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:28:23.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:28:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:28:33.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:28:43.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:28:43.271Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:28:53.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:28:53.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:29:03.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:29:03.274Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:29:13.266Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:29:13.273Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:29:23.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:29:23.272Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:29:33.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:29:33.270Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:29:43.265Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:29:43.270Z | GET /api/sensors | Auth: Invalid
